"Figure 1. Temperatures in the Contiguous 48 States, 1901-2014",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climatechange/indicators,,,
"Data source: NOAA, 2015",,,
Web update: June 2015,,,
Units: °F,,,
,,,
Year,Earth's surface,Lower troposphere (measured by satellite) (UAH),Lower troposphere (measured by satellite) (RSS)
1901,-0.15,null,null
1902,-0.43,null,null
1903,-1.4,null,null
1904,-0.86,null,null
1905,-1.02,null,null
1906,-0.29,null,null
1907,-0.54,null,null
1908,0.06,null,null
1909,-0.59,null,null
1910,0.4,null,null
1911,0.01,null,null
1912,-1.79,null,null
1913,-0.48,null,null
1914,-0.18,null,null
1915,-0.57,null,null
1916,-1.17,null,null
1917,-1.96,null,null
1918,-0.15,null,null
1919,-0.47,null,null
1920,-0.95,null,null
1921,1.78,null,null
1922,0.01,null,null
1923,-0.38,null,null
1924,-1.43,null,null
1925,0.5,null,null
1926,-0.07,null,null
1927,0.13,null,null
1928,-0.1,null,null
1929,-1.17,null,null
1930,-0.04,null,null
1931,1.52,null,null
1932,-0.29,null,null
1933,0.97,null,null
1934,2.08,null,null
1935,-0.12,null,null
1936,0.13,null,null
1937,-0.47,null,null
1938,1.16,null,null
1939,1.24,null,null
1940,-0.13,null,null
1941,0.64,null,null
1942,-0.18,null,null
1943,0.05,null,null
1944,-0.19,null,null
1945,-0.27,null,null
1946,0.93,null,null
1947,-0.1,null,null
1948,-0.41,null,null
1949,0,null,null
1950,-0.63,null,null
1951,-0.9,null,null
1952,0.25,null,null
1953,1.35,null,null
1954,1.31,null,null
1955,-0.33,null,null
1956,0.32,null,null
1957,0.02,null,null
1958,-0.09,null,null
1959,0.09,null,null
1960,-0.58,null,null
1961,-0.15,null,null
1962,-0.12,null,null
1963,0.24,null,null
1964,-0.35,null,null
1965,-0.33,null,null
1966,-0.53,null,null
1967,-0.26,null,null
1968,-0.7,null,null
1969,-0.52,null,null
1970,-0.41,null,null
1971,-0.36,null,null
1972,-0.65,null,null
1973,0.27,null,null
1974,0.24,null,null
1975,-0.52,null,null
1976,-0.55,null,null
1977,0.53,null,null
1978,-0.97,null,null
1979,-1.14,-0.433361111,-0.309773611
1980,0.37,0.294138889,0.553776389
1981,1.1,0.879138889,1.010826389
1982,-0.67,-0.458861111,-0.261773611
1983,-0.14,-0.337361111,-0.100523611
1984,-0.04,-0.310361111,-0.150473611
1985,-0.72,-0.166361111,-0.208373611
1986,1.3,0.970638889,1.061826389
1987,1.31,1.009638889,1.249176389
1988,0.61,0.562638889,0.701376389
1989,-0.18,0.618138889,0.381276389
1990,1.49,1.486638889,1.389726389
1991,1.14,1.152138889,1.097526389
1992,0.58,0.523638889,0.544326389
1993,-0.76,-0.373361111,-0.437573611
1994,0.85,0.874638889,1.090176389
1995,0.63,0.643638889,0.827376389
1996,-0.13,0.394638889,0.308676389
1997,0.18,0.301638889,0.407226389
1998,2.21,1.656138889,1.858326389
1999,1.86,1.876638889,1.859676389
2000,1.25,1.360638889,1.385226389
2001,1.68,1.213638889,1.404276389
2002,1.19,0.856638889,0.931176389
2003,1.24,1.128138889,1.312476389
2004,1.08,0.697638889,0.817476389
2005,1.62,1.332138889,1.382226389
2006,2.23,1.783638889,1.517376389
2007,1.63,1.690638889,1.630776389
2008,0.27,0.541638889,0.253176389
2009,0.37,0.727638889,0.408276389
2010,0.96,1.080138889,0.821526389
2011,1.16,1.204638889,0.940176389
2012,3.26,2.499138889,2.369376389
2013,0.41,0.709638889,0.328026389
2014,0.5,0.709638889,0.325626389
